15:36:42: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command_worker.py | command_worker | 46] Logger initialized
15:36:55: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.741 m/s
15:36:55: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.074 m/s
15:36:55: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Successfully sent CHANGING YAW message
15:36:56: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 2.143 m/s
15:36:56: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:56: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.071 m/s
15:36:56: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Successfully sent CHANGING YAW message
15:36:56: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 1.379 m/s
15:36:56: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:56: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.069 m/s
15:36:56: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Successfully sent CHANGING YAW message
15:36:57: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.667 m/s
15:36:57: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:57: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.067 m/s
15:36:57: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Successfully sent CHANGING YAW message
15:36:57: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 95] Average velocity for X: 0.000 m/s
15:36:57: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 96] Average velocity for Y: 0.000 m/s
15:36:57: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 97] Average velocity for Z: 0.065 m/s
15:36:57: [INFO] [C:\Users\Samuel\Documents\Waterloo Documents\UWARG Documents\autonomy-bootcamp-2025-p2\modules\command\command.py | run | 140] Successfully sent CHANGING YAW message
